repo,issue,url,days since last activity
cucumber-lua,3,https://github.com/cucumber/cucumber-lua/pull/3,1164
cucumber-cpp,40,https://github.com/cucumber/cucumber-cpp/issues/40,1155
cucumber-cpp,190,https://github.com/cucumber/cucumber-cpp/issues/190,1147
docs,188,https://github.com/cucumber/docs/issues/188,1128
cucumber-lua,7,https://github.com/cucumber/cucumber-lua/issues/7,1046
cucumber-cpp,177,https://github.com/cucumber/cucumber-cpp/issues/177,1008
cucumber-lua,13,https://github.com/cucumber/cucumber-lua/pull/13,999
docs,233,https://github.com/cucumber/docs/issues/233,990
common,415,https://github.com/cucumber/common/issues/415,989
cucumber-cpp,204,https://github.com/cucumber/cucumber-cpp/issues/204,964
cucumber-cpp,212,https://github.com/cucumber/cucumber-cpp/issues/212,938
cucumber-eclipse,324,https://github.com/cucumber/cucumber-eclipse/issues/324,917
aruba,500,https://github.com/cucumber/aruba/issues/500,906
aruba,525,https://github.com/cucumber/aruba/issues/525,906
aruba,538,https://github.com/cucumber/aruba/issues/538,906
aruba,550,https://github.com/cucumber/aruba/issues/550,906
aruba,564,https://github.com/cucumber/aruba/issues/564,906
aruba,573,https://github.com/cucumber/aruba/issues/573,906
aruba,480,https://github.com/cucumber/aruba/issues/480,901
godog,158,https://github.com/cucumber/godog/issues/158,897
godog,159,https://github.com/cucumber/godog/issues/159,889
aruba,255,https://github.com/cucumber/aruba/issues/255,861
cucumber-ruby-wire,16,https://github.com/cucumber/cucumber-ruby-wire/issues/16,834
godog,173,https://github.com/cucumber/godog/issues/173,819
cucumber-cpp,220,https://github.com/cucumber/cucumber-cpp/issues/220,816
cucumber-cpp,199,https://github.com/cucumber/cucumber-cpp/issues/199,799
cucumber-cpp,222,https://github.com/cucumber/cucumber-cpp/issues/222,797
cucumber-ruby-wire,19,https://github.com/cucumber/cucumber-ruby-wire/issues/19,796
godog,175,https://github.com/cucumber/godog/issues/175,789
godog,178,https://github.com/cucumber/godog/issues/178,779
godog,182,https://github.com/cucumber/godog/issues/182,771
common,620,https://github.com/cucumber/common/issues/620,755
godog,185,https://github.com/cucumber/godog/issues/185,742
godog,187,https://github.com/cucumber/godog/issues/187,721
cucumber-cpp,219,https://github.com/cucumber/cucumber-cpp/issues/219,715
cucumber-eclipse,362,https://github.com/cucumber/cucumber-eclipse/issues/362,710
cucumber-eclipse,368,https://github.com/cucumber/cucumber-eclipse/issues/368,710
docs,142,https://github.com/cucumber/docs/issues/142,708
docs,230,https://github.com/cucumber/docs/issues/230,680
docs,79,https://github.com/cucumber/docs/issues/79,652
repo-template,3,https://github.com/cucumber/repo-template/issues/3,638
repo-template,4,https://github.com/cucumber/repo-template/issues/4,638
common,686,https://github.com/cucumber/common/issues/686,637
docs,401,https://github.com/cucumber/docs/issues/401,636
repo-template,5,https://github.com/cucumber/repo-template/issues/5,631
cucumber-cpp,226,https://github.com/cucumber/cucumber-cpp/issues/226,630
cucumber-android,32,https://github.com/cucumber/cucumber-android/issues/32,616
docs,391,https://github.com/cucumber/docs/issues/391,578
common,775,https://github.com/cucumber/common/issues/775,570
common,783,https://github.com/cucumber/common/issues/783,568
aruba,678,https://github.com/cucumber/aruba/issues/678,567
aruba,685,https://github.com/cucumber/aruba/issues/685,567
aruba,695,https://github.com/cucumber/aruba/issues/695,565
docs,144,https://github.com/cucumber/docs/issues/144,561
common,789,https://github.com/cucumber/common/issues/789,554
common,453,https://github.com/cucumber/common/issues/453,551
docs,424,https://github.com/cucumber/docs/issues/424,544
cucumber.io-file-generator,2,https://github.com/cucumber/cucumber.io-file-generator/pull/2,512
cucumber-cpp,205,https://github.com/cucumber/cucumber-cpp/issues/205,504
aruba,705,https://github.com/cucumber/aruba/issues/705,499
godog,128,https://github.com/cucumber/godog/issues/128,496
cucumber-android,44,https://github.com/cucumber/cucumber-android/issues/44,475
cucumber-jvm-scala,4,https://github.com/cucumber/cucumber-jvm-scala/issues/4,437
multi_test,21,https://github.com/cucumber/multi_test/issues/21,435
common,999,https://github.com/cucumber/common/issues/999,435
cucumber-android,42,https://github.com/cucumber/cucumber-android/issues/42,434
cucumber-eclipse,406,https://github.com/cucumber/cucumber-eclipse/issues/406,430
common,933,https://github.com/cucumber/common/issues/933,421
gherkin-c,10,https://github.com/cucumber/gherkin-c/pull/10,394
gherkin-c,13,https://github.com/cucumber/gherkin-c/pull/13,394
gherkin-c,14,https://github.com/cucumber/gherkin-c/pull/14,394
