repo,issue,url,days since last activity
cucumber-lua,3,https://github.com/cucumber/cucumber-lua/pull/3,1564
cucumber-cpp,190,https://github.com/cucumber/cucumber-cpp/issues/190,1547
docs,188,https://github.com/cucumber/docs/issues/188,1528
cucumber-lua,7,https://github.com/cucumber/cucumber-lua/issues/7,1446
cucumber-cpp,177,https://github.com/cucumber/cucumber-cpp/issues/177,1408
cucumber-lua,13,https://github.com/cucumber/cucumber-lua/pull/13,1399
docs,233,https://github.com/cucumber/docs/issues/233,1390
cucumber-cpp,212,https://github.com/cucumber/cucumber-cpp/issues/212,1338
aruba,500,https://github.com/cucumber/aruba/issues/500,1306
aruba,525,https://github.com/cucumber/aruba/issues/525,1306
aruba,538,https://github.com/cucumber/aruba/issues/538,1306
aruba,550,https://github.com/cucumber/aruba/issues/550,1306
aruba,564,https://github.com/cucumber/aruba/issues/564,1306
aruba,480,https://github.com/cucumber/aruba/issues/480,1301
godog,158,https://github.com/cucumber/godog/issues/158,1297
godog,159,https://github.com/cucumber/godog/issues/159,1289
aruba,255,https://github.com/cucumber/aruba/issues/255,1261
cucumber-ruby-wire,16,https://github.com/cucumber/cucumber-ruby-wire/issues/16,1234
godog,173,https://github.com/cucumber/godog/issues/173,1219
cucumber-cpp,220,https://github.com/cucumber/cucumber-cpp/issues/220,1216
cucumber-cpp,222,https://github.com/cucumber/cucumber-cpp/issues/222,1197
cucumber-ruby-wire,19,https://github.com/cucumber/cucumber-ruby-wire/issues/19,1196
godog,182,https://github.com/cucumber/godog/issues/182,1171
common,620,https://github.com/cucumber/common/issues/620,1155
godog,185,https://github.com/cucumber/godog/issues/185,1142
godog,187,https://github.com/cucumber/godog/issues/187,1121
docs,230,https://github.com/cucumber/docs/issues/230,1080
docs,79,https://github.com/cucumber/docs/issues/79,1052
repo-template,4,https://github.com/cucumber/repo-template/issues/4,1038
common,686,https://github.com/cucumber/common/issues/686,1037
docs,401,https://github.com/cucumber/docs/issues/401,1036
repo-template,5,https://github.com/cucumber/repo-template/issues/5,1031
cucumber-cpp,226,https://github.com/cucumber/cucumber-cpp/issues/226,1030
cucumber-android,32,https://github.com/cucumber/cucumber-android/issues/32,1016
docs,391,https://github.com/cucumber/docs/issues/391,978
common,775,https://github.com/cucumber/common/issues/775,970
common,783,https://github.com/cucumber/common/issues/783,968
aruba,685,https://github.com/cucumber/aruba/issues/685,967
aruba,695,https://github.com/cucumber/aruba/issues/695,965
common,789,https://github.com/cucumber/common/issues/789,954
docs,424,https://github.com/cucumber/docs/issues/424,944
aruba,705,https://github.com/cucumber/aruba/issues/705,899
godog,128,https://github.com/cucumber/godog/issues/128,896
cucumber-android,44,https://github.com/cucumber/cucumber-android/issues/44,875
common,999,https://github.com/cucumber/common/issues/999,835
cucumber-eclipse,406,https://github.com/cucumber/cucumber-eclipse/issues/406,830
common,933,https://github.com/cucumber/common/issues/933,821
gherkin-c,10,https://github.com/cucumber/gherkin-c/pull/10,794
gherkin-c,13,https://github.com/cucumber/gherkin-c/pull/13,794
