repo,issue,url,days since last activity
cucumber-lua,3,https://github.com/cucumber/cucumber-lua/pull/3,1397
cucumber-cpp,190,https://github.com/cucumber/cucumber-cpp/issues/190,1380
docs,188,https://github.com/cucumber/docs/issues/188,1361
cucumber-lua,7,https://github.com/cucumber/cucumber-lua/issues/7,1279
cucumber-cpp,177,https://github.com/cucumber/cucumber-cpp/issues/177,1241
cucumber-lua,13,https://github.com/cucumber/cucumber-lua/pull/13,1232
docs,233,https://github.com/cucumber/docs/issues/233,1223
cucumber-cpp,212,https://github.com/cucumber/cucumber-cpp/issues/212,1171
aruba,500,https://github.com/cucumber/aruba/issues/500,1139
aruba,525,https://github.com/cucumber/aruba/issues/525,1139
aruba,538,https://github.com/cucumber/aruba/issues/538,1139
aruba,550,https://github.com/cucumber/aruba/issues/550,1139
aruba,564,https://github.com/cucumber/aruba/issues/564,1139
aruba,573,https://github.com/cucumber/aruba/issues/573,1139
aruba,480,https://github.com/cucumber/aruba/issues/480,1134
godog,158,https://github.com/cucumber/godog/issues/158,1130
godog,159,https://github.com/cucumber/godog/issues/159,1122
aruba,255,https://github.com/cucumber/aruba/issues/255,1094
cucumber-ruby-wire,16,https://github.com/cucumber/cucumber-ruby-wire/issues/16,1067
godog,173,https://github.com/cucumber/godog/issues/173,1052
cucumber-cpp,220,https://github.com/cucumber/cucumber-cpp/issues/220,1049
cucumber-cpp,222,https://github.com/cucumber/cucumber-cpp/issues/222,1030
cucumber-ruby-wire,19,https://github.com/cucumber/cucumber-ruby-wire/issues/19,1029
godog,182,https://github.com/cucumber/godog/issues/182,1004
common,620,https://github.com/cucumber/common/issues/620,988
godog,185,https://github.com/cucumber/godog/issues/185,975
godog,187,https://github.com/cucumber/godog/issues/187,954
docs,230,https://github.com/cucumber/docs/issues/230,913
docs,79,https://github.com/cucumber/docs/issues/79,885
repo-template,4,https://github.com/cucumber/repo-template/issues/4,871
common,686,https://github.com/cucumber/common/issues/686,870
docs,401,https://github.com/cucumber/docs/issues/401,869
repo-template,5,https://github.com/cucumber/repo-template/issues/5,864
cucumber-cpp,226,https://github.com/cucumber/cucumber-cpp/issues/226,863
cucumber-android,32,https://github.com/cucumber/cucumber-android/issues/32,849
docs,391,https://github.com/cucumber/docs/issues/391,811
common,775,https://github.com/cucumber/common/issues/775,803
common,783,https://github.com/cucumber/common/issues/783,801
aruba,685,https://github.com/cucumber/aruba/issues/685,800
aruba,695,https://github.com/cucumber/aruba/issues/695,798
common,789,https://github.com/cucumber/common/issues/789,787
docs,424,https://github.com/cucumber/docs/issues/424,777
aruba,705,https://github.com/cucumber/aruba/issues/705,732
godog,128,https://github.com/cucumber/godog/issues/128,729
cucumber-android,44,https://github.com/cucumber/cucumber-android/issues/44,708
cucumber-jvm-scala,4,https://github.com/cucumber/cucumber-jvm-scala/issues/4,670
multi_test,21,https://github.com/cucumber/multi_test/issues/21,668
common,999,https://github.com/cucumber/common/issues/999,668
cucumber-eclipse,406,https://github.com/cucumber/cucumber-eclipse/issues/406,663
common,933,https://github.com/cucumber/common/issues/933,654
gherkin-c,10,https://github.com/cucumber/gherkin-c/pull/10,627
gherkin-c,13,https://github.com/cucumber/gherkin-c/pull/13,627
gherkin-c,14,https://github.com/cucumber/gherkin-c/pull/14,627
common,897,https://github.com/cucumber/common/issues/897,627
godog,58,https://github.com/cucumber/godog/issues/58,626
godog,94,https://github.com/cucumber/godog/issues/94,626
godog,154,https://github.com/cucumber/godog/issues/154,626
godog,194,https://github.com/cucumber/godog/issues/194,626
cucumber-parent,8,https://github.com/cucumber/cucumber-parent/pull/8,625
commitbit,6,https://github.com/cucumber/commitbit/issues/6,624
aruba,722,https://github.com/cucumber/aruba/issues/722,602
godog,230,https://github.com/cucumber/godog/issues/230,594
todo-react-typescript-subsecond,2,https://github.com/cucumber/todo-react-typescript-subsecond/pull/2,587
common,773,https://github.com/cucumber/common/issues/773,575
godog,339,https://github.com/cucumber/godog/issues/339,556
godog,341,https://github.com/cucumber/godog/issues/341,553
cucumber-json-testdata-generator,11,https://github.com/cucumber/cucumber-json-testdata-generator/pull/11,551
cucumber-lua,14,https://github.com/cucumber/cucumber-lua/pull/14,550
godog,124,https://github.com/cucumber/godog/issues/124,546
cucumber-lua,8,https://github.com/cucumber/cucumber-lua/pull/8,527
todo-react-typescript-subsecond,4,https://github.com/cucumber/todo-react-typescript-subsecond/pull/4,521
docs,386,https://github.com/cucumber/docs/issues/386,521
cucumber-lua,15,https://github.com/cucumber/cucumber-lua/pull/15,520
commitbit,7,https://github.com/cucumber/commitbit/pull/7,520
commitbit,8,https://github.com/cucumber/commitbit/pull/8,520
commitbit,9,https://github.com/cucumber/commitbit/pull/9,520
aruba,740,https://github.com/cucumber/aruba/issues/740,488
cucumber-android,59,https://github.com/cucumber/cucumber-android/issues/59,479
todo-react-typescript-subsecond,5,https://github.com/cucumber/todo-react-typescript-subsecond/pull/5,462
slack-invite-automation,4,https://github.com/cucumber/slack-invite-automation/pull/4,462
repo-template,6,https://github.com/cucumber/repo-template/pull/6,462
multi_test,22,https://github.com/cucumber/multi_test/pull/22,462
git-subrepo,1,https://github.com/cucumber/git-subrepo/pull/1,462
docs,214,https://github.com/cucumber/docs/issues/214,462
docs,276,https://github.com/cucumber/docs/issues/276,462
docs,288,https://github.com/cucumber/docs/issues/288,462
docs,297,https://github.com/cucumber/docs/issues/297,462
cucumber-tcl-wire,3,https://github.com/cucumber/cucumber-tcl-wire/pull/3,462
cucumber-parent,21,https://github.com/cucumber/cucumber-parent/pull/21,462
cucumber-message-upload-service,1,https://github.com/cucumber/cucumber-message-upload-service/pull/1,462
cucumber-lua,16,https://github.com/cucumber/cucumber-lua/pull/16,462
cucumber-json-testdata-generator,12,https://github.com/cucumber/cucumber-json-testdata-generator/pull/12,462
commitbit,10,https://github.com/cucumber/commitbit/pull/10,462
coffee-machine,1,https://github.com/cucumber/coffee-machine/pull/1,462
aruba-getting-started,6,https://github.com/cucumber/aruba-getting-started/pull/6,462
common,1264,https://github.com/cucumber/common/issues/1264,457
cucumber-jvm,1921,https://github.com/cucumber/cucumber-jvm/issues/1921,456
cucumber-android,62,https://github.com/cucumber/cucumber-android/issues/62,451
common,1122,https://github.com/cucumber/common/issues/1122,451
coffee-machine-javascript,1,https://github.com/cucumber/coffee-machine-javascript/pull/1,451
aruba,770,https://github.com/cucumber/aruba/issues/770,433
aruba,518,https://github.com/cucumber/aruba/issues/518,425
cucumber-jvm,1891,https://github.com/cucumber/cucumber-jvm/issues/1891,417
cucumber-android,60,https://github.com/cucumber/cucumber-android/issues/60,412
aruba,752,https://github.com/cucumber/aruba/issues/752,412
godog,365,https://github.com/cucumber/godog/issues/365,402
cucumber-jvm,2054,https://github.com/cucumber/cucumber-jvm/issues/2054,402
cucumber-jvm,2216,https://github.com/cucumber/cucumber-jvm/issues/2216,402
cucumber-js,1275,https://github.com/cucumber/cucumber-js/issues/1275,402
cucumber-js,1324,https://github.com/cucumber/cucumber-js/issues/1324,402
cucumber-js,1545,https://github.com/cucumber/cucumber-js/issues/1545,402
