repo,issue,url,days since last activity
cucumber-cpp,190,https://github.com/cucumber/cucumber-cpp/issues/190,1842
docs,188,https://github.com/cucumber/docs/issues/188,1823
cucumber-lua,7,https://github.com/cucumber/cucumber-lua/issues/7,1741
cucumber-cpp,177,https://github.com/cucumber/cucumber-cpp/issues/177,1703
docs,233,https://github.com/cucumber/docs/issues/233,1685
cucumber-cpp,212,https://github.com/cucumber/cucumber-cpp/issues/212,1633
aruba,500,https://github.com/cucumber/aruba/issues/500,1601
aruba,525,https://github.com/cucumber/aruba/issues/525,1601
aruba,538,https://github.com/cucumber/aruba/issues/538,1601
aruba,550,https://github.com/cucumber/aruba/issues/550,1601
aruba,564,https://github.com/cucumber/aruba/issues/564,1601
aruba,480,https://github.com/cucumber/aruba/issues/480,1596
godog,159,https://github.com/cucumber/godog/issues/159,1584
aruba,255,https://github.com/cucumber/aruba/issues/255,1556
cucumber-ruby-wire,16,https://github.com/cucumber/cucumber-ruby-wire/issues/16,1529
godog,173,https://github.com/cucumber/godog/issues/173,1514
cucumber-cpp,222,https://github.com/cucumber/cucumber-cpp/issues/222,1492
cucumber-ruby-wire,19,https://github.com/cucumber/cucumber-ruby-wire/issues/19,1491
godog,182,https://github.com/cucumber/godog/issues/182,1466
godog,185,https://github.com/cucumber/godog/issues/185,1437
godog,187,https://github.com/cucumber/godog/issues/187,1416
docs,230,https://github.com/cucumber/docs/issues/230,1375
common,686,https://github.com/cucumber/common/issues/686,1332
docs,401,https://github.com/cucumber/docs/issues/401,1331
cucumber-cpp,226,https://github.com/cucumber/cucumber-cpp/issues/226,1325
cucumber-android,32,https://github.com/cucumber/cucumber-android/issues/32,1311
docs,391,https://github.com/cucumber/docs/issues/391,1273
common,775,https://github.com/cucumber/common/issues/775,1265
aruba,685,https://github.com/cucumber/aruba/issues/685,1262
aruba,695,https://github.com/cucumber/aruba/issues/695,1260
common,789,https://github.com/cucumber/common/issues/789,1249
docs,424,https://github.com/cucumber/docs/issues/424,1239
aruba,705,https://github.com/cucumber/aruba/issues/705,1194
godog,128,https://github.com/cucumber/godog/issues/128,1191
cucumber-android,44,https://github.com/cucumber/cucumber-android/issues/44,1170
common,999,https://github.com/cucumber/common/issues/999,1130
cucumber-eclipse,406,https://github.com/cucumber/cucumber-eclipse/issues/406,1125
common,933,https://github.com/cucumber/common/issues/933,1116
common,897,https://github.com/cucumber/common/issues/897,1089
godog,58,https://github.com/cucumber/godog/issues/58,1088
godog,94,https://github.com/cucumber/godog/issues/94,1088
godog,154,https://github.com/cucumber/godog/issues/154,1088
godog,194,https://github.com/cucumber/godog/issues/194,1088
commitbit,6,https://github.com/cucumber/commitbit/issues/6,1086
godog,230,https://github.com/cucumber/godog/issues/230,1056
common,773,https://github.com/cucumber/common/issues/773,1037
godog,339,https://github.com/cucumber/godog/issues/339,1018
godog,124,https://github.com/cucumber/godog/issues/124,1008
docs,386,https://github.com/cucumber/docs/issues/386,983
commitbit,7,https://github.com/cucumber/commitbit/pull/7,982
commitbit,8,https://github.com/cucumber/commitbit/pull/8,982
commitbit,9,https://github.com/cucumber/commitbit/pull/9,982
aruba,740,https://github.com/cucumber/aruba/issues/740,950
cucumber-android,59,https://github.com/cucumber/cucumber-android/issues/59,941
git-subrepo,1,https://github.com/cucumber/git-subrepo/pull/1,924
docs,214,https://github.com/cucumber/docs/issues/214,924
docs,276,https://github.com/cucumber/docs/issues/276,924
docs,288,https://github.com/cucumber/docs/issues/288,924
docs,297,https://github.com/cucumber/docs/issues/297,924
cucumber-message-upload-service,1,https://github.com/cucumber/cucumber-message-upload-service/pull/1,924
commitbit,10,https://github.com/cucumber/commitbit/pull/10,924
aruba-getting-started,6,https://github.com/cucumber/aruba-getting-started/pull/6,924
cucumber-android,62,https://github.com/cucumber/cucumber-android/issues/62,913
aruba,770,https://github.com/cucumber/aruba/issues/770,895
aruba,518,https://github.com/cucumber/aruba/issues/518,887
godog,365,https://github.com/cucumber/godog/issues/365,864
docs,487,https://github.com/cucumber/docs/issues/487,861
cucumber-android,45,https://github.com/cucumber/cucumber-android/issues/45,857
godog,375,https://github.com/cucumber/godog/issues/375,856
commitbit,11,https://github.com/cucumber/commitbit/pull/11,856
common,1357,https://github.com/cucumber/common/issues/1357,850
docs,67,https://github.com/cucumber/docs/issues/67,849
docs,136,https://github.com/cucumber/docs/issues/136,849
docs,434,https://github.com/cucumber/docs/issues/434,849
cucumber-jvm,1834,https://github.com/cucumber/cucumber-jvm/issues/1834,849
godog,95,https://github.com/cucumber/godog/issues/95,847
common,1290,https://github.com/cucumber/common/issues/1290,835
common,1425,https://github.com/cucumber/common/issues/1425,821
common,1426,https://github.com/cucumber/common/issues/1426,821
cucumber-android,69,https://github.com/cucumber/cucumber-android/issues/69,801
cucumber-android,71,https://github.com/cucumber/cucumber-android/issues/71,799
common,960,https://github.com/cucumber/common/issues/960,796
cucumber-js,1644,https://github.com/cucumber/cucumber-js/issues/1644,788
common,1462,https://github.com/cucumber/common/issues/1462,787
docs,560,https://github.com/cucumber/docs/issues/560,781
cucumber-rails,438,https://github.com/cucumber/cucumber-rails/issues/438,781
cucumber-rails,446,https://github.com/cucumber/cucumber-rails/issues/446,781
cucumber-cpp,243,https://github.com/cucumber/cucumber-cpp/issues/243,780
cucumber-eclipse,6,https://github.com/cucumber/cucumber-eclipse/issues/6,779
cucumber-eclipse,7,https://github.com/cucumber/cucumber-eclipse/issues/7,779
cucumber-eclipse,12,https://github.com/cucumber/cucumber-eclipse/issues/12,779
cucumber-eclipse,13,https://github.com/cucumber/cucumber-eclipse/issues/13,779
cucumber-eclipse,14,https://github.com/cucumber/cucumber-eclipse/issues/14,779
cucumber-eclipse,172,https://github.com/cucumber/cucumber-eclipse/issues/172,779
cucumber-eclipse,238,https://github.com/cucumber/cucumber-eclipse/issues/238,779
cucumber-eclipse,283,https://github.com/cucumber/cucumber-eclipse/issues/283,779
docs,594,https://github.com/cucumber/docs/issues/594,778
cucumber-js,1664,https://github.com/cucumber/cucumber-js/issues/1664,772
common,1427,https://github.com/cucumber/common/issues/1427,771
common,1523,https://github.com/cucumber/common/issues/1523,771
common,1519,https://github.com/cucumber/common/issues/1519,767
aruba,600,https://github.com/cucumber/aruba/pull/600,765
aruba,716,https://github.com/cucumber/aruba/pull/716,765
aruba,746,https://github.com/cucumber/aruba/pull/746,765
aruba,806,https://github.com/cucumber/aruba/issues/806,764
build,18,https://github.com/cucumber/build/issues/18,763
cucumber.ml,34,https://github.com/cucumber/cucumber.ml/pull/34,756
cucumber-android,33,https://github.com/cucumber/cucumber-android/pull/33,756
godog,291,https://github.com/cucumber/godog/issues/291,750
cucumber-android,46,https://github.com/cucumber/cucumber-android/issues/46,748
docs,627,https://github.com/cucumber/docs/issues/627,740
godog,394,https://github.com/cucumber/godog/issues/394,736
cucumber-eclipse-update-site,4,https://github.com/cucumber/cucumber-eclipse-update-site/issues/4,733
docs,628,https://github.com/cucumber/docs/issues/628,732
common,1614,https://github.com/cucumber/common/issues/1614,730
aruba,817,https://github.com/cucumber/aruba/pull/817,728
aruba,254,https://github.com/cucumber/aruba/issues/254,726
common,1602,https://github.com/cucumber/common/issues/1602,718
common,714,https://github.com/cucumber/common/issues/714,717
docs,642,https://github.com/cucumber/docs/issues/642,715
common,568,https://github.com/cucumber/common/issues/568,714
cucumber-cpp,163,https://github.com/cucumber/cucumber-cpp/issues/163,700
cucumber-ruby-wire,1,https://github.com/cucumber/cucumber-ruby-wire/issues/1,697
common,1664,https://github.com/cucumber/common/issues/1664,697
godog,410,https://github.com/cucumber/godog/issues/410,689
cucumber-android,83,https://github.com/cucumber/cucumber-android/issues/83,689
aruba,391,https://github.com/cucumber/aruba/issues/391,684
aruba,395,https://github.com/cucumber/aruba/issues/395,684
aruba,402,https://github.com/cucumber/aruba/issues/402,684
aruba,420,https://github.com/cucumber/aruba/issues/420,684
aruba,432,https://github.com/cucumber/aruba/issues/432,684
aruba,484,https://github.com/cucumber/aruba/issues/484,684
aruba,521,https://github.com/cucumber/aruba/issues/521,684
aruba,545,https://github.com/cucumber/aruba/issues/545,684
aruba,549,https://github.com/cucumber/aruba/issues/549,684
aruba,667,https://github.com/cucumber/aruba/issues/667,684
aruba,694,https://github.com/cucumber/aruba/issues/694,684
aruba,713,https://github.com/cucumber/aruba/issues/713,684
godog,267,https://github.com/cucumber/godog/issues/267,673
common,1685,https://github.com/cucumber/common/issues/1685,673
godog,395,https://github.com/cucumber/godog/issues/395,669
common,1306,https://github.com/cucumber/common/issues/1306,661
aruba,789,https://github.com/cucumber/aruba/pull/789,656
godog,389,https://github.com/cucumber/godog/issues/389,655
action-create-github-release,1,https://github.com/cucumber/action-create-github-release/issues/1,646
cucumber-eclipse,324,https://github.com/cucumber/cucumber-eclipse/issues/324,640
cucumber-eclipse,342,https://github.com/cucumber/cucumber-eclipse/issues/342,640
cucumber-eclipse,400,https://github.com/cucumber/cucumber-eclipse/issues/400,640
cucumber-eclipse,402,https://github.com/cucumber/cucumber-eclipse/issues/402,640
cucumber-eclipse,403,https://github.com/cucumber/cucumber-eclipse/issues/403,640
cucumber-eclipse,407,https://github.com/cucumber/cucumber-eclipse/issues/407,640
cucumber-eclipse,411,https://github.com/cucumber/cucumber-eclipse/pull/411,640
cucumber-eclipse,418,https://github.com/cucumber/cucumber-eclipse/issues/418,640
cucumber-eclipse,425,https://github.com/cucumber/cucumber-eclipse/issues/425,640
cucumber-eclipse,434,https://github.com/cucumber/cucumber-eclipse/issues/434,640
cucumber-eclipse,436,https://github.com/cucumber/cucumber-eclipse/issues/436,640
godog,376,https://github.com/cucumber/godog/issues/376,639
cucumber-eclipse,442,https://github.com/cucumber/cucumber-eclipse/issues/442,638
cucumber-cpp,199,https://github.com/cucumber/cucumber-cpp/issues/199,637
cucumber-cpp,219,https://github.com/cucumber/cucumber-cpp/issues/219,637
cucumber-cpp,246,https://github.com/cucumber/cucumber-cpp/issues/246,637
cucumber-jvm-scala,217,https://github.com/cucumber/cucumber-jvm-scala/issues/217,633
action-create-github-release,3,https://github.com/cucumber/action-create-github-release/issues/3,633
action-publish-rubygem,2,https://github.com/cucumber/action-publish-rubygem/issues/2,632
action-create-github-release,6,https://github.com/cucumber/action-create-github-release/pull/6,631
action-get-versions,2,https://github.com/cucumber/action-get-versions/issues/2,630
common,1138,https://github.com/cucumber/common/issues/1138,627
cucumber-expressions,17,https://github.com/cucumber/cucumber-expressions/issues/17,626
cucumber-cpp,198,https://github.com/cucumber/cucumber-cpp/pull/198,623
aruba,678,https://github.com/cucumber/aruba/issues/678,622
godog,324,https://github.com/cucumber/godog/issues/324,618
cucumber-js,1813,https://github.com/cucumber/cucumber-js/issues/1813,616
cucumber-eclipse,431,https://github.com/cucumber/cucumber-eclipse/issues/431,609
tag-expressions,20,https://github.com/cucumber/tag-expressions/issues/20,606
github-settings,2,https://github.com/cucumber/github-settings/issues/2,603
cucumber-expressions,32,https://github.com/cucumber/cucumber-expressions/pull/32,603
cucumber-eclipse,443,https://github.com/cucumber/cucumber-eclipse/issues/443,603
cucumber-eclipse,445,https://github.com/cucumber/cucumber-eclipse/issues/445,601
godog,373,https://github.com/cucumber/godog/issues/373,599
docs,474,https://github.com/cucumber/docs/issues/474,594
docs,633,https://github.com/cucumber/docs/issues/633,593
cucumber-expressions,44,https://github.com/cucumber/cucumber-expressions/pull/44,584
docs,696,https://github.com/cucumber/docs/issues/696,582
cucumber-expressions,41,https://github.com/cucumber/cucumber-expressions/issues/41,575
cucumber-js-pretty-formatter,8,https://github.com/cucumber/cucumber-js-pretty-formatter/issues/8,571
godog,446,https://github.com/cucumber/godog/issues/446,560
common,1116,https://github.com/cucumber/common/issues/1116,560
cucumber-jvm-scala,255,https://github.com/cucumber/cucumber-jvm-scala/issues/255,558
cucumber-js,1850,https://github.com/cucumber/cucumber-js/issues/1850,554
cucumber-android,65,https://github.com/cucumber/cucumber-android/issues/65,554
github-settings,1,https://github.com/cucumber/github-settings/issues/1,550
cucumber-eclipse,449,https://github.com/cucumber/cucumber-eclipse/issues/449,540
aruba,653,https://github.com/cucumber/aruba/pull/653,539
cucumber-expressions,51,https://github.com/cucumber/cucumber-expressions/issues/51,528
ci-environment,52,https://github.com/cucumber/ci-environment/issues/52,528
ci-environment,53,https://github.com/cucumber/ci-environment/issues/53,528
ci-environment,54,https://github.com/cucumber/ci-environment/issues/54,528
ci-environment,55,https://github.com/cucumber/ci-environment/issues/55,528
ci-environment,56,https://github.com/cucumber/ci-environment/issues/56,528
ci-environment,57,https://github.com/cucumber/ci-environment/issues/57,528
aruba,634,https://github.com/cucumber/aruba/pull/634,517
aruba,855,https://github.com/cucumber/aruba/pull/855,517
cucumber-android,90,https://github.com/cucumber/cucumber-android/issues/90,514
