repo,issue,url,days since last activity
cucumber-lua,3,https://github.com/cucumber/cucumber-lua/pull/3,1676
cucumber-cpp,190,https://github.com/cucumber/cucumber-cpp/issues/190,1659
docs,188,https://github.com/cucumber/docs/issues/188,1640
cucumber-lua,7,https://github.com/cucumber/cucumber-lua/issues/7,1558
cucumber-cpp,177,https://github.com/cucumber/cucumber-cpp/issues/177,1520
cucumber-lua,13,https://github.com/cucumber/cucumber-lua/pull/13,1511
docs,233,https://github.com/cucumber/docs/issues/233,1502
cucumber-cpp,212,https://github.com/cucumber/cucumber-cpp/issues/212,1450
aruba,500,https://github.com/cucumber/aruba/issues/500,1418
aruba,525,https://github.com/cucumber/aruba/issues/525,1418
aruba,538,https://github.com/cucumber/aruba/issues/538,1418
aruba,550,https://github.com/cucumber/aruba/issues/550,1418
aruba,564,https://github.com/cucumber/aruba/issues/564,1418
aruba,480,https://github.com/cucumber/aruba/issues/480,1413
godog,159,https://github.com/cucumber/godog/issues/159,1401
aruba,255,https://github.com/cucumber/aruba/issues/255,1373
cucumber-ruby-wire,16,https://github.com/cucumber/cucumber-ruby-wire/issues/16,1346
godog,173,https://github.com/cucumber/godog/issues/173,1331
cucumber-cpp,220,https://github.com/cucumber/cucumber-cpp/issues/220,1328
cucumber-cpp,222,https://github.com/cucumber/cucumber-cpp/issues/222,1309
cucumber-ruby-wire,19,https://github.com/cucumber/cucumber-ruby-wire/issues/19,1308
godog,182,https://github.com/cucumber/godog/issues/182,1283
godog,185,https://github.com/cucumber/godog/issues/185,1254
godog,187,https://github.com/cucumber/godog/issues/187,1233
docs,230,https://github.com/cucumber/docs/issues/230,1192
repo-template,4,https://github.com/cucumber/repo-template/issues/4,1150
common,686,https://github.com/cucumber/common/issues/686,1149
docs,401,https://github.com/cucumber/docs/issues/401,1148
repo-template,5,https://github.com/cucumber/repo-template/issues/5,1143
cucumber-cpp,226,https://github.com/cucumber/cucumber-cpp/issues/226,1142
cucumber-android,32,https://github.com/cucumber/cucumber-android/issues/32,1128
