repo,issue,url,days since last activity
cucumber-lua,3,https://github.com/cucumber/cucumber-lua/pull/3,1271
cucumber-cpp,190,https://github.com/cucumber/cucumber-cpp/issues/190,1254
docs,188,https://github.com/cucumber/docs/issues/188,1235
cucumber-lua,7,https://github.com/cucumber/cucumber-lua/issues/7,1153
cucumber-cpp,177,https://github.com/cucumber/cucumber-cpp/issues/177,1115
cucumber-lua,13,https://github.com/cucumber/cucumber-lua/pull/13,1106
docs,233,https://github.com/cucumber/docs/issues/233,1097
cucumber-cpp,212,https://github.com/cucumber/cucumber-cpp/issues/212,1045
aruba,500,https://github.com/cucumber/aruba/issues/500,1013
aruba,525,https://github.com/cucumber/aruba/issues/525,1013
aruba,538,https://github.com/cucumber/aruba/issues/538,1013
aruba,550,https://github.com/cucumber/aruba/issues/550,1013
aruba,564,https://github.com/cucumber/aruba/issues/564,1013
aruba,573,https://github.com/cucumber/aruba/issues/573,1013
aruba,480,https://github.com/cucumber/aruba/issues/480,1008
godog,158,https://github.com/cucumber/godog/issues/158,1004
godog,159,https://github.com/cucumber/godog/issues/159,996
aruba,255,https://github.com/cucumber/aruba/issues/255,968
cucumber-ruby-wire,16,https://github.com/cucumber/cucumber-ruby-wire/issues/16,941
godog,173,https://github.com/cucumber/godog/issues/173,926
cucumber-cpp,220,https://github.com/cucumber/cucumber-cpp/issues/220,923
cucumber-cpp,222,https://github.com/cucumber/cucumber-cpp/issues/222,904
cucumber-ruby-wire,19,https://github.com/cucumber/cucumber-ruby-wire/issues/19,903
godog,182,https://github.com/cucumber/godog/issues/182,878
common,620,https://github.com/cucumber/common/issues/620,862
godog,185,https://github.com/cucumber/godog/issues/185,849
godog,187,https://github.com/cucumber/godog/issues/187,828
docs,230,https://github.com/cucumber/docs/issues/230,787
docs,79,https://github.com/cucumber/docs/issues/79,759
repo-template,4,https://github.com/cucumber/repo-template/issues/4,745
common,686,https://github.com/cucumber/common/issues/686,744
docs,401,https://github.com/cucumber/docs/issues/401,743
repo-template,5,https://github.com/cucumber/repo-template/issues/5,738
cucumber-cpp,226,https://github.com/cucumber/cucumber-cpp/issues/226,737
cucumber-android,32,https://github.com/cucumber/cucumber-android/issues/32,723
docs,391,https://github.com/cucumber/docs/issues/391,685
common,775,https://github.com/cucumber/common/issues/775,677
common,783,https://github.com/cucumber/common/issues/783,675
aruba,685,https://github.com/cucumber/aruba/issues/685,674
aruba,695,https://github.com/cucumber/aruba/issues/695,672
common,789,https://github.com/cucumber/common/issues/789,661
docs,424,https://github.com/cucumber/docs/issues/424,651
cucumber.io-file-generator,2,https://github.com/cucumber/cucumber.io-file-generator/pull/2,619
aruba,705,https://github.com/cucumber/aruba/issues/705,606
godog,128,https://github.com/cucumber/godog/issues/128,603
cucumber-android,44,https://github.com/cucumber/cucumber-android/issues/44,582
cucumber-jvm-scala,4,https://github.com/cucumber/cucumber-jvm-scala/issues/4,544
multi_test,21,https://github.com/cucumber/multi_test/issues/21,542
common,999,https://github.com/cucumber/common/issues/999,542
cucumber-eclipse,406,https://github.com/cucumber/cucumber-eclipse/issues/406,537
common,933,https://github.com/cucumber/common/issues/933,528
gherkin-c,10,https://github.com/cucumber/gherkin-c/pull/10,501
gherkin-c,13,https://github.com/cucumber/gherkin-c/pull/13,501
gherkin-c,14,https://github.com/cucumber/gherkin-c/pull/14,501
common,897,https://github.com/cucumber/common/issues/897,501
godog,58,https://github.com/cucumber/godog/issues/58,500
godog,94,https://github.com/cucumber/godog/issues/94,500
godog,154,https://github.com/cucumber/godog/issues/154,500
godog,194,https://github.com/cucumber/godog/issues/194,500
cucumber-parent,8,https://github.com/cucumber/cucumber-parent/pull/8,499
commitbit,6,https://github.com/cucumber/commitbit/issues/6,498
aruba,722,https://github.com/cucumber/aruba/issues/722,476
godog,230,https://github.com/cucumber/godog/issues/230,468
godog,334,https://github.com/cucumber/godog/issues/334,468
todo-react-typescript-subsecond,2,https://github.com/cucumber/todo-react-typescript-subsecond/pull/2,461
common,773,https://github.com/cucumber/common/issues/773,449
godog,339,https://github.com/cucumber/godog/issues/339,430
godog,341,https://github.com/cucumber/godog/issues/341,427
cucumber-json-testdata-generator,11,https://github.com/cucumber/cucumber-json-testdata-generator/pull/11,425
cucumber-lua,14,https://github.com/cucumber/cucumber-lua/pull/14,424
godog,124,https://github.com/cucumber/godog/issues/124,420
cucumber-lua,8,https://github.com/cucumber/cucumber-lua/pull/8,401
todo-react-typescript-subsecond,4,https://github.com/cucumber/todo-react-typescript-subsecond/pull/4,395
docs,386,https://github.com/cucumber/docs/issues/386,395
protobuf.js,1,https://github.com/cucumber/protobuf.js/pull/1,394
protobuf.js,2,https://github.com/cucumber/protobuf.js/pull/2,394
protobuf.js,3,https://github.com/cucumber/protobuf.js/pull/3,394
protobuf.js,4,https://github.com/cucumber/protobuf.js/pull/4,394
protobuf.js,5,https://github.com/cucumber/protobuf.js/pull/5,394
cucumber-lua,15,https://github.com/cucumber/cucumber-lua/pull/15,394
commitbit,7,https://github.com/cucumber/commitbit/pull/7,394
commitbit,8,https://github.com/cucumber/commitbit/pull/8,394
commitbit,9,https://github.com/cucumber/commitbit/pull/9,394
aruba,740,https://github.com/cucumber/aruba/issues/740,362
cucumber-android,59,https://github.com/cucumber/cucumber-android/issues/59,353
todo-react-typescript-subsecond,5,https://github.com/cucumber/todo-react-typescript-subsecond/pull/5,336
tag-expressions-javascript,6,https://github.com/cucumber/tag-expressions-javascript/pull/6,336
slack-invite-automation,4,https://github.com/cucumber/slack-invite-automation/pull/4,336
repo-template,6,https://github.com/cucumber/repo-template/pull/6,336
protobuf.js,6,https://github.com/cucumber/protobuf.js/pull/6,336
protobuf,1,https://github.com/cucumber/protobuf/pull/1,336
multi_test,22,https://github.com/cucumber/multi_test/pull/22,336
git-subrepo,1,https://github.com/cucumber/git-subrepo/pull/1,336
docs,214,https://github.com/cucumber/docs/issues/214,336
docs,276,https://github.com/cucumber/docs/issues/276,336
docs,288,https://github.com/cucumber/docs/issues/288,336
docs,297,https://github.com/cucumber/docs/issues/297,336
cucumber.io-file-generator,3,https://github.com/cucumber/cucumber.io-file-generator/pull/3,336
cucumber-tcl-wire,3,https://github.com/cucumber/cucumber-tcl-wire/pull/3,336
cucumber-parent,21,https://github.com/cucumber/cucumber-parent/pull/21,336
cucumber-message-upload-service,1,https://github.com/cucumber/cucumber-message-upload-service/pull/1,336
cucumber-lua,16,https://github.com/cucumber/cucumber-lua/pull/16,336
cucumber-json-testdata-generator,12,https://github.com/cucumber/cucumber-json-testdata-generator/pull/12,336
cucumber-expressions-javascript,8,https://github.com/cucumber/cucumber-expressions-javascript/pull/8,336
commitbit,10,https://github.com/cucumber/commitbit/pull/10,336
coffee-machine,1,https://github.com/cucumber/coffee-machine/pull/1,336
aruba-getting-started,6,https://github.com/cucumber/aruba-getting-started/pull/6,336
common,1264,https://github.com/cucumber/common/issues/1264,331
cucumber-jvm,1871,https://github.com/cucumber/cucumber-jvm/issues/1871,330
cucumber-jvm,1921,https://github.com/cucumber/cucumber-jvm/issues/1921,330
cucumber-android,62,https://github.com/cucumber/cucumber-android/issues/62,325
common,1122,https://github.com/cucumber/common/issues/1122,325
coffee-machine-javascript,1,https://github.com/cucumber/coffee-machine-javascript/pull/1,325
common,1116,https://github.com/cucumber/common/issues/1116,322
common,1195,https://github.com/cucumber/common/issues/1195,322
aruba,770,https://github.com/cucumber/aruba/issues/770,307
aruba,518,https://github.com/cucumber/aruba/issues/518,299
cucumber-jvm,1891,https://github.com/cucumber/cucumber-jvm/issues/1891,291
cucumber-android,60,https://github.com/cucumber/cucumber-android/issues/60,286
aruba,752,https://github.com/cucumber/aruba/issues/752,286
godog,365,https://github.com/cucumber/godog/issues/365,276
cucumber-jvm,1707,https://github.com/cucumber/cucumber-jvm/issues/1707,276
cucumber-jvm,2054,https://github.com/cucumber/cucumber-jvm/issues/2054,276
cucumber-jvm,2216,https://github.com/cucumber/cucumber-jvm/issues/2216,276
cucumber-js,859,https://github.com/cucumber/cucumber-js/issues/859,276
cucumber-js,1079,https://github.com/cucumber/cucumber-js/issues/1079,276
cucumber-js,1275,https://github.com/cucumber/cucumber-js/issues/1275,276
cucumber-js,1324,https://github.com/cucumber/cucumber-js/issues/1324,276
cucumber-js,1545,https://github.com/cucumber/cucumber-js/issues/1545,276
protobuf,2,https://github.com/cucumber/protobuf/pull/2,275
common,1309,https://github.com/cucumber/common/issues/1309,274
docs,487,https://github.com/cucumber/docs/issues/487,273
cucumber-android,65,https://github.com/cucumber/cucumber-android/issues/65,271
cucumber-pretty-formatter,1,https://github.com/cucumber/cucumber-pretty-formatter/issues/1,269
cucumber-jvm,2215,https://github.com/cucumber/cucumber-jvm/issues/2215,269
cucumber-android,45,https://github.com/cucumber/cucumber-android/issues/45,269
godog,375,https://github.com/cucumber/godog/issues/375,268
commitbit,11,https://github.com/cucumber/commitbit/pull/11,268
cucumber-jvm,1805,https://github.com/cucumber/cucumber-jvm/issues/1805,264
common,1357,https://github.com/cucumber/common/issues/1357,262
docs,67,https://github.com/cucumber/docs/issues/67,261
docs,136,https://github.com/cucumber/docs/issues/136,261
docs,434,https://github.com/cucumber/docs/issues/434,261
cucumber-ruby,1288,https://github.com/cucumber/cucumber-ruby/issues/1288,261
cucumber-jvm,1834,https://github.com/cucumber/cucumber-jvm/issues/1834,261
common,1325,https://github.com/cucumber/common/issues/1325,261
godog,95,https://github.com/cucumber/godog/issues/95,259
common,1334,https://github.com/cucumber/common/issues/1334,259
cucumber-jvm-scala,175,https://github.com/cucumber/cucumber-jvm-scala/issues/175,256
cucumber-json-testdata-generator,13,https://github.com/cucumber/cucumber-json-testdata-generator/issues/13,248
common,1290,https://github.com/cucumber/common/issues/1290,247
common,1393,https://github.com/cucumber/common/issues/1393,247
godog,100,https://github.com/cucumber/godog/issues/100,245
godog,253,https://github.com/cucumber/godog/issues/253,245
common,997,https://github.com/cucumber/common/issues/997,239
common,1421,https://github.com/cucumber/common/issues/1421,236
common,1349,https://github.com/cucumber/common/issues/1349,234
common,1425,https://github.com/cucumber/common/issues/1425,233
common,1426,https://github.com/cucumber/common/issues/1426,233
cucumber-ruby,1469,https://github.com/cucumber/cucumber-ruby/issues/1469,220
cucumber-json-schema,3,https://github.com/cucumber/cucumber-json-schema/issues/3,217
godog,383,https://github.com/cucumber/godog/issues/383,214
cucumber-ruby,1513,https://github.com/cucumber/cucumber-ruby/issues/1513,213
cucumber-android,69,https://github.com/cucumber/cucumber-android/issues/69,213
cucumber-android,71,https://github.com/cucumber/cucumber-android/issues/71,211
common,1467,https://github.com/cucumber/common/issues/1467,210
common,960,https://github.com/cucumber/common/issues/960,208
common,1273,https://github.com/cucumber/common/issues/1273,207
godog,387,https://github.com/cucumber/godog/issues/387,205
godog,325,https://github.com/cucumber/godog/issues/325,204
cucumber-ruby,1522,https://github.com/cucumber/cucumber-ruby/issues/1522,203
cucumber-ruby,1526,https://github.com/cucumber/cucumber-ruby/issues/1526,200
cucumber-js,1644,https://github.com/cucumber/cucumber-js/issues/1644,200
cucumber-react,2,https://github.com/cucumber/cucumber-react/pull/2,199
cucumber-react,3,https://github.com/cucumber/cucumber-react/pull/3,199
cucumber-react,4,https://github.com/cucumber/cucumber-react/pull/4,199
common,1462,https://github.com/cucumber/common/issues/1462,199
common,1493,https://github.com/cucumber/common/issues/1493,197
docs,560,https://github.com/cucumber/docs/issues/560,193
cucumber-rails,438,https://github.com/cucumber/cucumber-rails/issues/438,193
cucumber-rails,446,https://github.com/cucumber/cucumber-rails/issues/446,193
cucumber-rails,505,https://github.com/cucumber/cucumber-rails/issues/505,193
cucumber-jvm,2256,https://github.com/cucumber/cucumber-jvm/pull/2256,193
cucumber-js,1044,https://github.com/cucumber/cucumber-js/issues/1044,193
cucumber-cpp,243,https://github.com/cucumber/cucumber-cpp/issues/243,192
cucumber-eclipse,6,https://github.com/cucumber/cucumber-eclipse/issues/6,191
cucumber-eclipse,7,https://github.com/cucumber/cucumber-eclipse/issues/7,191
cucumber-eclipse,12,https://github.com/cucumber/cucumber-eclipse/issues/12,191
cucumber-eclipse,13,https://github.com/cucumber/cucumber-eclipse/issues/13,191
cucumber-eclipse,14,https://github.com/cucumber/cucumber-eclipse/issues/14,191
cucumber-eclipse,172,https://github.com/cucumber/cucumber-eclipse/issues/172,191
cucumber-eclipse,238,https://github.com/cucumber/cucumber-eclipse/issues/238,191
cucumber-eclipse,283,https://github.com/cucumber/cucumber-eclipse/issues/283,191
docs,594,https://github.com/cucumber/docs/issues/594,190
common,756,https://github.com/cucumber/common/issues/756,190
todo-react-typescript-subsecond,6,https://github.com/cucumber/todo-react-typescript-subsecond/pull/6,189
cucumber-js,1664,https://github.com/cucumber/cucumber-js/issues/1664,184
common,1413,https://github.com/cucumber/common/issues/1413,183
common,1427,https://github.com/cucumber/common/issues/1427,183
common,1523,https://github.com/cucumber/common/issues/1523,183
docs,561,https://github.com/cucumber/docs/issues/561,182
common,1512,https://github.com/cucumber/common/issues/1512,180
common,1519,https://github.com/cucumber/common/issues/1519,179
aruba,600,https://github.com/cucumber/aruba/pull/600,177
aruba,634,https://github.com/cucumber/aruba/pull/634,177
aruba,716,https://github.com/cucumber/aruba/pull/716,177
aruba,746,https://github.com/cucumber/aruba/pull/746,177
common,1539,https://github.com/cucumber/common/issues/1539,176
aruba,806,https://github.com/cucumber/aruba/issues/806,176
build,18,https://github.com/cucumber/build/issues/18,175
common,1317,https://github.com/cucumber/common/issues/1317,172
common,1504,https://github.com/cucumber/common/issues/1504,172
common,1505,https://github.com/cucumber/common/issues/1505,172
cucumber-ruby,1541,https://github.com/cucumber/cucumber-ruby/issues/1541,170
cucumber.ml,34,https://github.com/cucumber/cucumber.ml/pull/34,168
cucumber.ml,35,https://github.com/cucumber/cucumber.ml/pull/35,168
cucumber-android,33,https://github.com/cucumber/cucumber-android/pull/33,168
cucumber-android,61,https://github.com/cucumber/cucumber-android/pull/61,168
common,1216,https://github.com/cucumber/common/issues/1216,164
godog,291,https://github.com/cucumber/godog/issues/291,162
cucumber-js,1617,https://github.com/cucumber/cucumber-js/pull/1617,162
cucumber-ruby,1547,https://github.com/cucumber/cucumber-ruby/issues/1547,161
common,1521,https://github.com/cucumber/common/issues/1521,161
cucumber-android,46,https://github.com/cucumber/cucumber-android/issues/46,160
common,1580,https://github.com/cucumber/common/issues/1580,159
cucumber-js,1688,https://github.com/cucumber/cucumber-js/pull/1688,154
docs,627,https://github.com/cucumber/docs/issues/627,152
common,1588,https://github.com/cucumber/common/issues/1588,151
common,331,https://github.com/cucumber/common/issues/331,149
godog,394,https://github.com/cucumber/godog/issues/394,148
docs,630,https://github.com/cucumber/docs/issues/630,148
cucumber-jvm,1711,https://github.com/cucumber/cucumber-jvm/issues/1711,147
cucumber-eclipse-update-site,4,https://github.com/cucumber/cucumber-eclipse-update-site/issues/4,145
docs,628,https://github.com/cucumber/docs/issues/628,144
cucumber-jvm-groovy,22,https://github.com/cucumber/cucumber-jvm-groovy/pull/22,144
cucumber-pretty-formatter,3,https://github.com/cucumber/cucumber-pretty-formatter/issues/3,142
cucumber-js,1698,https://github.com/cucumber/cucumber-js/issues/1698,142
common,1614,https://github.com/cucumber/common/issues/1614,142
aruba,505,https://github.com/cucumber/aruba/pull/505,140
aruba,653,https://github.com/cucumber/aruba/pull/653,140
aruba,817,https://github.com/cucumber/aruba/pull/817,140
aruba,619,https://github.com/cucumber/aruba/pull/619,139
aruba,816,https://github.com/cucumber/aruba/pull/816,139
aruba,254,https://github.com/cucumber/aruba/issues/254,138
common,1441,https://github.com/cucumber/common/issues/1441,137
aruba,799,https://github.com/cucumber/aruba/pull/799,137
docs,637,https://github.com/cucumber/docs/issues/637,135
cucumber-js,1648,https://github.com/cucumber/cucumber-js/issues/1648,132
common,249,https://github.com/cucumber/common/issues/249,130
common,1602,https://github.com/cucumber/common/issues/1602,130
common,714,https://github.com/cucumber/common/issues/714,129
docs,642,https://github.com/cucumber/docs/issues/642,127
common,568,https://github.com/cucumber/common/issues/568,126
common,871,https://github.com/cucumber/common/issues/871,126
common,1638,https://github.com/cucumber/common/issues/1638,122
common,1649,https://github.com/cucumber/common/issues/1649,120
cucumber-js,1588,https://github.com/cucumber/cucumber-js/pull/1588,118
godog,399,https://github.com/cucumber/godog/issues/399,116
cucumber-jvm-groovy,20,https://github.com/cucumber/cucumber-jvm-groovy/issues/20,116
common,1550,https://github.com/cucumber/common/issues/1550,116
godog,406,https://github.com/cucumber/godog/issues/406,115
cucumber-cpp,163,https://github.com/cucumber/cucumber-cpp/issues/163,112
cucumber-jvm,1829,https://github.com/cucumber/cucumber-jvm/issues/1829,111
cucumber-js,1712,https://github.com/cucumber/cucumber-js/issues/1712,111
cucumber-ruby-wire,1,https://github.com/cucumber/cucumber-ruby-wire/issues/1,109
cucumber-ruby-wire,45,https://github.com/cucumber/cucumber-ruby-wire/pull/45,109
