repo,issue,url,days since last activity
cucumber-cpp,190,https://github.com/cucumber/cucumber-cpp/issues/190,1953
docs,188,https://github.com/cucumber/docs/issues/188,1934
cucumber-cpp,177,https://github.com/cucumber/cucumber-cpp/issues/177,1814
docs,233,https://github.com/cucumber/docs/issues/233,1796
cucumber-cpp,212,https://github.com/cucumber/cucumber-cpp/issues/212,1744
aruba,500,https://github.com/cucumber/aruba/issues/500,1712
aruba,525,https://github.com/cucumber/aruba/issues/525,1712
aruba,538,https://github.com/cucumber/aruba/issues/538,1712
aruba,550,https://github.com/cucumber/aruba/issues/550,1712
aruba,564,https://github.com/cucumber/aruba/issues/564,1712
aruba,480,https://github.com/cucumber/aruba/issues/480,1707
godog,159,https://github.com/cucumber/godog/issues/159,1695
aruba,255,https://github.com/cucumber/aruba/issues/255,1667
cucumber-ruby-wire,16,https://github.com/cucumber/cucumber-ruby-wire/issues/16,1640
godog,173,https://github.com/cucumber/godog/issues/173,1625
cucumber-cpp,222,https://github.com/cucumber/cucumber-cpp/issues/222,1603
cucumber-ruby-wire,19,https://github.com/cucumber/cucumber-ruby-wire/issues/19,1602
godog,182,https://github.com/cucumber/godog/issues/182,1577
godog,185,https://github.com/cucumber/godog/issues/185,1548
godog,187,https://github.com/cucumber/godog/issues/187,1527
docs,230,https://github.com/cucumber/docs/issues/230,1486
common,686,https://github.com/cucumber/common/issues/686,1443
docs,401,https://github.com/cucumber/docs/issues/401,1442
cucumber-cpp,226,https://github.com/cucumber/cucumber-cpp/issues/226,1436
cucumber-android,32,https://github.com/cucumber/cucumber-android/issues/32,1422
docs,391,https://github.com/cucumber/docs/issues/391,1384
common,775,https://github.com/cucumber/common/issues/775,1376
aruba,685,https://github.com/cucumber/aruba/issues/685,1373
aruba,695,https://github.com/cucumber/aruba/issues/695,1371
common,789,https://github.com/cucumber/common/issues/789,1360
docs,424,https://github.com/cucumber/docs/issues/424,1350
aruba,705,https://github.com/cucumber/aruba/issues/705,1305
godog,128,https://github.com/cucumber/godog/issues/128,1302
cucumber-eclipse,406,https://github.com/cucumber/cucumber-eclipse/issues/406,1236
godog,58,https://github.com/cucumber/godog/issues/58,1199
godog,94,https://github.com/cucumber/godog/issues/94,1199
godog,154,https://github.com/cucumber/godog/issues/154,1199
godog,194,https://github.com/cucumber/godog/issues/194,1199
commitbit,6,https://github.com/cucumber/commitbit/issues/6,1197
godog,230,https://github.com/cucumber/godog/issues/230,1167
common,773,https://github.com/cucumber/common/issues/773,1148
godog,339,https://github.com/cucumber/godog/issues/339,1129
godog,124,https://github.com/cucumber/godog/issues/124,1119
docs,386,https://github.com/cucumber/docs/issues/386,1094
commitbit,7,https://github.com/cucumber/commitbit/pull/7,1093
commitbit,8,https://github.com/cucumber/commitbit/pull/8,1093
commitbit,9,https://github.com/cucumber/commitbit/pull/9,1093
aruba,740,https://github.com/cucumber/aruba/issues/740,1061
cucumber-android,59,https://github.com/cucumber/cucumber-android/issues/59,1052
git-subrepo,1,https://github.com/cucumber/git-subrepo/pull/1,1035
docs,214,https://github.com/cucumber/docs/issues/214,1035
docs,276,https://github.com/cucumber/docs/issues/276,1035
docs,288,https://github.com/cucumber/docs/issues/288,1035
docs,297,https://github.com/cucumber/docs/issues/297,1035
cucumber-message-upload-service,1,https://github.com/cucumber/cucumber-message-upload-service/pull/1,1035
commitbit,10,https://github.com/cucumber/commitbit/pull/10,1035
cucumber-android,62,https://github.com/cucumber/cucumber-android/issues/62,1024
aruba,770,https://github.com/cucumber/aruba/issues/770,1006
aruba,518,https://github.com/cucumber/aruba/issues/518,998
godog,365,https://github.com/cucumber/godog/issues/365,975
docs,487,https://github.com/cucumber/docs/issues/487,972
godog,375,https://github.com/cucumber/godog/issues/375,967
common,1357,https://github.com/cucumber/common/issues/1357,961
docs,67,https://github.com/cucumber/docs/issues/67,960
docs,136,https://github.com/cucumber/docs/issues/136,960
docs,434,https://github.com/cucumber/docs/issues/434,960
cucumber-jvm,1834,https://github.com/cucumber/cucumber-jvm/issues/1834,960
godog,95,https://github.com/cucumber/godog/issues/95,958
common,1290,https://github.com/cucumber/common/issues/1290,946
common,1425,https://github.com/cucumber/common/issues/1425,932
cucumber-js,1644,https://github.com/cucumber/cucumber-js/issues/1644,899
common,1462,https://github.com/cucumber/common/issues/1462,898
docs,560,https://github.com/cucumber/docs/issues/560,892
cucumber-rails,438,https://github.com/cucumber/cucumber-rails/issues/438,892
cucumber-rails,446,https://github.com/cucumber/cucumber-rails/issues/446,892
cucumber-cpp,243,https://github.com/cucumber/cucumber-cpp/issues/243,891
cucumber-eclipse,6,https://github.com/cucumber/cucumber-eclipse/issues/6,890
cucumber-eclipse,7,https://github.com/cucumber/cucumber-eclipse/issues/7,890
cucumber-eclipse,12,https://github.com/cucumber/cucumber-eclipse/issues/12,890
cucumber-eclipse,13,https://github.com/cucumber/cucumber-eclipse/issues/13,890
cucumber-eclipse,14,https://github.com/cucumber/cucumber-eclipse/issues/14,890
cucumber-eclipse,172,https://github.com/cucumber/cucumber-eclipse/issues/172,890
cucumber-eclipse,238,https://github.com/cucumber/cucumber-eclipse/issues/238,890
cucumber-eclipse,283,https://github.com/cucumber/cucumber-eclipse/issues/283,890
docs,594,https://github.com/cucumber/docs/issues/594,889
cucumber-js,1664,https://github.com/cucumber/cucumber-js/issues/1664,883
common,1427,https://github.com/cucumber/common/issues/1427,882
common,1523,https://github.com/cucumber/common/issues/1523,882
common,1519,https://github.com/cucumber/common/issues/1519,878
aruba,600,https://github.com/cucumber/aruba/pull/600,876
aruba,716,https://github.com/cucumber/aruba/pull/716,876
aruba,746,https://github.com/cucumber/aruba/pull/746,876
aruba,806,https://github.com/cucumber/aruba/issues/806,875
build,18,https://github.com/cucumber/build/issues/18,874
cucumber.ml,34,https://github.com/cucumber/cucumber.ml/pull/34,867
cucumber-android,33,https://github.com/cucumber/cucumber-android/pull/33,867
godog,291,https://github.com/cucumber/godog/issues/291,861
docs,627,https://github.com/cucumber/docs/issues/627,851
godog,394,https://github.com/cucumber/godog/issues/394,847
cucumber-eclipse-update-site,4,https://github.com/cucumber/cucumber-eclipse-update-site/issues/4,844
docs,628,https://github.com/cucumber/docs/issues/628,843
common,1614,https://github.com/cucumber/common/issues/1614,841
aruba,817,https://github.com/cucumber/aruba/pull/817,839
aruba,254,https://github.com/cucumber/aruba/issues/254,837
common,1602,https://github.com/cucumber/common/issues/1602,829
common,714,https://github.com/cucumber/common/issues/714,828
cucumber-cpp,163,https://github.com/cucumber/cucumber-cpp/issues/163,811
cucumber-ruby-wire,1,https://github.com/cucumber/cucumber-ruby-wire/issues/1,808
common,1664,https://github.com/cucumber/common/issues/1664,808
godog,410,https://github.com/cucumber/godog/issues/410,800
aruba,391,https://github.com/cucumber/aruba/issues/391,795
aruba,395,https://github.com/cucumber/aruba/issues/395,795
aruba,402,https://github.com/cucumber/aruba/issues/402,795
