repo,pr,url,username,date,total
cucumber-jvm,257,https://github.com/cucumber/cucumber-jvm/pull/257,jeromebenois,2012-03-13,208
cucumber-rails,204,https://github.com/cucumber/cucumber-rails/pull/204,panozzaj,2012-03-21,209
cucumber-jvm,273,https://github.com/cucumber/cucumber-jvm/pull/273,ilanpillemer,2012-03-23,210
cucumber-jvm,274,https://github.com/cucumber/cucumber-jvm/pull/274,dgradl,2012-03-23,211
cucumber-ruby,252,https://github.com/cucumber/cucumber-ruby/pull/252,chasestubblefield,2012-03-28,212
cucumber-jvm,277,https://github.com/cucumber/cucumber-jvm/pull/277,mva,2012-03-28,213
cucumber-ruby,255,https://github.com/cucumber/cucumber-ruby/pull/255,iafonov,2012-03-29,214
cucumber-jvm,282,https://github.com/cucumber/cucumber-jvm/pull/282,pawel-s,2012-03-29,215
cucumber-ruby,259,https://github.com/cucumber/cucumber-ruby/pull/259,rtyler,2012-04-02,216
cucumber-jvm,294,https://github.com/cucumber/cucumber-jvm/pull/294,duck1123,2012-04-06,217
cucumber-ruby,262,https://github.com/cucumber/cucumber-ruby/pull/262,taranchenko,2012-04-07,218
cucumber-ruby,266,https://github.com/cucumber/cucumber-ruby/pull/266,akiellor,2012-04-09,219
cucumber-js,55,https://github.com/cucumber/cucumber-js/pull/55,renier,2012-04-10,220
cucumber-rails,208,https://github.com/cucumber/cucumber-rails/pull/208,roryokane,2012-04-20,221
cucumber-rails,209,https://github.com/cucumber/cucumber-rails/pull/209,rdlugosz,2012-04-22,222
cucumber-jvm,307,https://github.com/cucumber/cucumber-jvm/pull/307,tknerr,2012-04-24,223
cucumber-rails,210,https://github.com/cucumber/cucumber-rails/pull/210,levmatta-umanni,2012-04-26,224
cucumber-ruby,277,https://github.com/cucumber/cucumber-ruby/pull/277,chrisbloom7,2012-05-03,225
cucumber-jvm,314,https://github.com/cucumber/cucumber-jvm/pull/314,Synesso,2012-05-09,226
cucumber-cpp,43,https://github.com/cucumber/cucumber-cpp/pull/43,barneywilliams,2012-05-13,227
cucumber-ruby,284,https://github.com/cucumber/cucumber-ruby/pull/284,os97673,2012-05-21,228
cucumber-js,67,https://github.com/cucumber/cucumber-js/pull/67,remkoboschker,2012-05-24,229
cucumber-ruby,286,https://github.com/cucumber/cucumber-ruby/pull/286,narwen,2012-05-28,230
cucumber-jvm,332,https://github.com/cucumber/cucumber-jvm/pull/332,semperos,2012-05-30,231
cucumber-jvm,342,https://github.com/cucumber/cucumber-jvm/pull/342,mattharr,2012-06-12,232
aruba,117,https://github.com/cucumber/aruba/pull/117,iconoclast,2012-06-21,233
cucumber-ruby,293,https://github.com/cucumber/cucumber-ruby/pull/293,TylerRick,2012-06-21,234
cucumber-js,73,https://github.com/cucumber/cucumber-js/pull/73,zoeyg,2012-06-22,235
cucumber-js,75,https://github.com/cucumber/cucumber-js/pull/75,hairyhum,2012-06-27,236
aruba,120,https://github.com/cucumber/aruba/pull/120,mvz,2012-06-30,237
cucumber-ruby,295,https://github.com/cucumber/cucumber-ruby/pull/295,brynary,2012-07-02,238
cucumber-js,76,https://github.com/cucumber/cucumber-js/pull/76,dmcaulay,2012-07-04,239
cucumber-jvm,356,https://github.com/cucumber/cucumber-jvm/pull/356,kevinc,2012-07-06,240
cucumber-jvm,357,https://github.com/cucumber/cucumber-jvm/pull/357,tryge,2012-07-06,241
aruba,121,https://github.com/cucumber/aruba/pull/121,LTe,2012-07-09,242
cucumber-ruby,300,https://github.com/cucumber/cucumber-ruby/pull/300,aaronjensen,2012-07-13,243
cucumber-jvm,363,https://github.com/cucumber/cucumber-jvm/pull/363,kimsaabyepedersen,2012-07-21,244
aruba,122,https://github.com/cucumber/aruba/pull/122,mdespuits,2012-07-21,245
cucumber-js,79,https://github.com/cucumber/cucumber-js/pull/79,worldofchris,2012-07-24,246
cucumber-rails,218,https://github.com/cucumber/cucumber-rails/pull/218,voxik,2012-07-27,247
cucumber-rails,220,https://github.com/cucumber/cucumber-rails/pull/220,betelgeuse,2012-07-31,248
cucumber-jvm,365,https://github.com/cucumber/cucumber-jvm/pull/365,ti3r,2012-07-31,249
cucumber-js,83,https://github.com/cucumber/cucumber-js/pull/83,s9tpepper,2012-08-03,250
cucumber-jvm,371,https://github.com/cucumber/cucumber-jvm/pull/371,marquiswang,2012-08-07,251
cucumber-jvm,374,https://github.com/cucumber/cucumber-jvm/pull/374,bezda,2012-08-14,252
cucumber-ruby,306,https://github.com/cucumber/cucumber-ruby/pull/306,zeljkofilipin,2012-08-14,253
cucumber-jvm,377,https://github.com/cucumber/cucumber-jvm/pull/377,kopa,2012-08-20,254
cucumber-ruby,308,https://github.com/cucumber/cucumber-ruby/pull/308,tricknotes,2012-08-29,255
cucumber-jvm,385,https://github.com/cucumber/cucumber-jvm/pull/385,mbusik,2012-09-01,256
cucumber-rails,225,https://github.com/cucumber/cucumber-rails/pull/225,alindeman,2012-09-05,257
cucumber-ruby,313,https://github.com/cucumber/cucumber-ruby/pull/313,avit,2012-09-13,258
cucumber-js,86,https://github.com/cucumber/cucumber-js/pull/86,johngeorgewright,2012-09-13,259
cucumber-ruby,319,https://github.com/cucumber/cucumber-ruby/pull/319,willglynn,2012-09-22,260
cucumber-ruby,321,https://github.com/cucumber/cucumber-ruby/pull/321,danbernier,2012-09-25,261
aruba,124,https://github.com/cucumber/aruba/pull/124,jarl-dk,2012-09-26,262
cucumber-ruby,324,https://github.com/cucumber/cucumber-ruby/pull/324,drbrain,2012-09-28,263
cucumber-ruby,326,https://github.com/cucumber/cucumber-ruby/pull/326,rwillmer,2012-10-04,264
cucumber-ruby,329,https://github.com/cucumber/cucumber-ruby/pull/329,fcbeyer,2012-10-16,265
cucumber-ruby,331,https://github.com/cucumber/cucumber-ruby/pull/331,martco,2012-10-19,266
cucumber-jvm,409,https://github.com/cucumber/cucumber-jvm/pull/409,skipoleschris,2012-10-24,267
cucumber-jvm,411,https://github.com/cucumber/cucumber-jvm/pull/411,joelbyrnes,2012-10-25,268
cucumber-ruby,333,https://github.com/cucumber/cucumber-ruby/pull/333,patrickkusebauch,2012-10-29,269
cucumber-ruby,336,https://github.com/cucumber/cucumber-ruby/pull/336,robertodecurnex,2012-10-31,270
cucumber-js,96,https://github.com/cucumber/cucumber-js/pull/96,isra17,2012-11-01,271
