repo,issue,url,days since last activity
cucumber-cpp,190,https://github.com/cucumber/cucumber-cpp/issues/190,1672
docs,188,https://github.com/cucumber/docs/issues/188,1653
cucumber-lua,7,https://github.com/cucumber/cucumber-lua/issues/7,1571
cucumber-cpp,177,https://github.com/cucumber/cucumber-cpp/issues/177,1533
docs,233,https://github.com/cucumber/docs/issues/233,1515
cucumber-cpp,212,https://github.com/cucumber/cucumber-cpp/issues/212,1463
aruba,500,https://github.com/cucumber/aruba/issues/500,1431
aruba,525,https://github.com/cucumber/aruba/issues/525,1431
aruba,538,https://github.com/cucumber/aruba/issues/538,1431
aruba,550,https://github.com/cucumber/aruba/issues/550,1431
aruba,564,https://github.com/cucumber/aruba/issues/564,1431
aruba,480,https://github.com/cucumber/aruba/issues/480,1426
godog,159,https://github.com/cucumber/godog/issues/159,1414
aruba,255,https://github.com/cucumber/aruba/issues/255,1386
cucumber-ruby-wire,16,https://github.com/cucumber/cucumber-ruby-wire/issues/16,1359
godog,173,https://github.com/cucumber/godog/issues/173,1344
cucumber-cpp,220,https://github.com/cucumber/cucumber-cpp/issues/220,1341
cucumber-cpp,222,https://github.com/cucumber/cucumber-cpp/issues/222,1322
cucumber-ruby-wire,19,https://github.com/cucumber/cucumber-ruby-wire/issues/19,1321
godog,182,https://github.com/cucumber/godog/issues/182,1296
godog,185,https://github.com/cucumber/godog/issues/185,1267
godog,187,https://github.com/cucumber/godog/issues/187,1246
docs,230,https://github.com/cucumber/docs/issues/230,1205
common,686,https://github.com/cucumber/common/issues/686,1162
docs,401,https://github.com/cucumber/docs/issues/401,1161
cucumber-cpp,226,https://github.com/cucumber/cucumber-cpp/issues/226,1155
cucumber-android,32,https://github.com/cucumber/cucumber-android/issues/32,1141
docs,391,https://github.com/cucumber/docs/issues/391,1103
common,775,https://github.com/cucumber/common/issues/775,1095
aruba,685,https://github.com/cucumber/aruba/issues/685,1092
aruba,695,https://github.com/cucumber/aruba/issues/695,1090
common,789,https://github.com/cucumber/common/issues/789,1079
docs,424,https://github.com/cucumber/docs/issues/424,1069
aruba,705,https://github.com/cucumber/aruba/issues/705,1024
godog,128,https://github.com/cucumber/godog/issues/128,1021
cucumber-android,44,https://github.com/cucumber/cucumber-android/issues/44,1000
common,999,https://github.com/cucumber/common/issues/999,960
cucumber-eclipse,406,https://github.com/cucumber/cucumber-eclipse/issues/406,955
common,933,https://github.com/cucumber/common/issues/933,946
common,897,https://github.com/cucumber/common/issues/897,919
godog,58,https://github.com/cucumber/godog/issues/58,918
godog,94,https://github.com/cucumber/godog/issues/94,918
godog,154,https://github.com/cucumber/godog/issues/154,918
godog,194,https://github.com/cucumber/godog/issues/194,918
commitbit,6,https://github.com/cucumber/commitbit/issues/6,916
godog,230,https://github.com/cucumber/godog/issues/230,886
common,773,https://github.com/cucumber/common/issues/773,867
godog,339,https://github.com/cucumber/godog/issues/339,848
godog,124,https://github.com/cucumber/godog/issues/124,838
docs,386,https://github.com/cucumber/docs/issues/386,813
commitbit,7,https://github.com/cucumber/commitbit/pull/7,812
commitbit,8,https://github.com/cucumber/commitbit/pull/8,812
commitbit,9,https://github.com/cucumber/commitbit/pull/9,812
aruba,740,https://github.com/cucumber/aruba/issues/740,780
cucumber-android,59,https://github.com/cucumber/cucumber-android/issues/59,771
slack-invite-automation,4,https://github.com/cucumber/slack-invite-automation/pull/4,754
git-subrepo,1,https://github.com/cucumber/git-subrepo/pull/1,754
docs,214,https://github.com/cucumber/docs/issues/214,754
docs,276,https://github.com/cucumber/docs/issues/276,754
docs,288,https://github.com/cucumber/docs/issues/288,754
docs,297,https://github.com/cucumber/docs/issues/297,754
cucumber-message-upload-service,1,https://github.com/cucumber/cucumber-message-upload-service/pull/1,754
commitbit,10,https://github.com/cucumber/commitbit/pull/10,754
aruba-getting-started,6,https://github.com/cucumber/aruba-getting-started/pull/6,754
cucumber-jvm,1921,https://github.com/cucumber/cucumber-jvm/issues/1921,748
cucumber-android,62,https://github.com/cucumber/cucumber-android/issues/62,743
aruba,770,https://github.com/cucumber/aruba/issues/770,725
aruba,518,https://github.com/cucumber/aruba/issues/518,717
