repo,issue,url,days since last activity
cucumber-lua,3,https://github.com/cucumber/cucumber-lua/pull/3,1232
cucumber-cpp,190,https://github.com/cucumber/cucumber-cpp/issues/190,1215
docs,188,https://github.com/cucumber/docs/issues/188,1196
cucumber-lua,7,https://github.com/cucumber/cucumber-lua/issues/7,1114
cucumber-cpp,177,https://github.com/cucumber/cucumber-cpp/issues/177,1076
cucumber-lua,13,https://github.com/cucumber/cucumber-lua/pull/13,1067
docs,233,https://github.com/cucumber/docs/issues/233,1058
cucumber-cpp,204,https://github.com/cucumber/cucumber-cpp/issues/204,1032
cucumber-cpp,212,https://github.com/cucumber/cucumber-cpp/issues/212,1006
aruba,500,https://github.com/cucumber/aruba/issues/500,974
aruba,525,https://github.com/cucumber/aruba/issues/525,974
aruba,538,https://github.com/cucumber/aruba/issues/538,974
aruba,550,https://github.com/cucumber/aruba/issues/550,974
aruba,564,https://github.com/cucumber/aruba/issues/564,974
aruba,573,https://github.com/cucumber/aruba/issues/573,974
aruba,480,https://github.com/cucumber/aruba/issues/480,969
godog,158,https://github.com/cucumber/godog/issues/158,965
godog,159,https://github.com/cucumber/godog/issues/159,957
aruba,255,https://github.com/cucumber/aruba/issues/255,929
cucumber-ruby-wire,16,https://github.com/cucumber/cucumber-ruby-wire/issues/16,902
godog,173,https://github.com/cucumber/godog/issues/173,887
cucumber-cpp,220,https://github.com/cucumber/cucumber-cpp/issues/220,884
cucumber-cpp,222,https://github.com/cucumber/cucumber-cpp/issues/222,865
cucumber-ruby-wire,19,https://github.com/cucumber/cucumber-ruby-wire/issues/19,864
godog,182,https://github.com/cucumber/godog/issues/182,839
common,620,https://github.com/cucumber/common/issues/620,823
godog,185,https://github.com/cucumber/godog/issues/185,810
godog,187,https://github.com/cucumber/godog/issues/187,789
docs,230,https://github.com/cucumber/docs/issues/230,748
docs,79,https://github.com/cucumber/docs/issues/79,720
repo-template,4,https://github.com/cucumber/repo-template/issues/4,706
common,686,https://github.com/cucumber/common/issues/686,705
docs,401,https://github.com/cucumber/docs/issues/401,704
repo-template,5,https://github.com/cucumber/repo-template/issues/5,699
cucumber-cpp,226,https://github.com/cucumber/cucumber-cpp/issues/226,698
