repo,issue,url,days since last activity
cucumber-lua,3,https://github.com/cucumber/cucumber-lua/pull/3,1249
cucumber-cpp,190,https://github.com/cucumber/cucumber-cpp/issues/190,1232
docs,188,https://github.com/cucumber/docs/issues/188,1213
cucumber-lua,7,https://github.com/cucumber/cucumber-lua/issues/7,1131
cucumber-cpp,177,https://github.com/cucumber/cucumber-cpp/issues/177,1093
cucumber-lua,13,https://github.com/cucumber/cucumber-lua/pull/13,1084
docs,233,https://github.com/cucumber/docs/issues/233,1075
cucumber-cpp,212,https://github.com/cucumber/cucumber-cpp/issues/212,1023
aruba,500,https://github.com/cucumber/aruba/issues/500,991
aruba,525,https://github.com/cucumber/aruba/issues/525,991
aruba,538,https://github.com/cucumber/aruba/issues/538,991
aruba,550,https://github.com/cucumber/aruba/issues/550,991
aruba,564,https://github.com/cucumber/aruba/issues/564,991
aruba,573,https://github.com/cucumber/aruba/issues/573,991
aruba,480,https://github.com/cucumber/aruba/issues/480,986
godog,158,https://github.com/cucumber/godog/issues/158,982
godog,159,https://github.com/cucumber/godog/issues/159,974
aruba,255,https://github.com/cucumber/aruba/issues/255,946
cucumber-ruby-wire,16,https://github.com/cucumber/cucumber-ruby-wire/issues/16,919
godog,173,https://github.com/cucumber/godog/issues/173,904
cucumber-cpp,220,https://github.com/cucumber/cucumber-cpp/issues/220,901
cucumber-cpp,222,https://github.com/cucumber/cucumber-cpp/issues/222,882
cucumber-ruby-wire,19,https://github.com/cucumber/cucumber-ruby-wire/issues/19,881
godog,182,https://github.com/cucumber/godog/issues/182,856
common,620,https://github.com/cucumber/common/issues/620,840
godog,185,https://github.com/cucumber/godog/issues/185,827
godog,187,https://github.com/cucumber/godog/issues/187,806
docs,230,https://github.com/cucumber/docs/issues/230,765
docs,79,https://github.com/cucumber/docs/issues/79,737
repo-template,4,https://github.com/cucumber/repo-template/issues/4,723
common,686,https://github.com/cucumber/common/issues/686,722
docs,401,https://github.com/cucumber/docs/issues/401,721
repo-template,5,https://github.com/cucumber/repo-template/issues/5,716
cucumber-cpp,226,https://github.com/cucumber/cucumber-cpp/issues/226,715
cucumber-android,32,https://github.com/cucumber/cucumber-android/issues/32,701
docs,391,https://github.com/cucumber/docs/issues/391,663
common,775,https://github.com/cucumber/common/issues/775,655
