date,number of issues active in past 90 days,number of issues not active in past 90 days,total number of issues,percentage of issues active in past 90 days
2021-05-18,229,318,547,41.9
2021-05-28,251,277,528,47.5
2021-06-11,260,283,543,47.9
2021-06-16,261,286,547,47.7
2021-06-23,297,266,563,52.8
2021-06-24,297,267,564,52.7
2021-06-25,295,268,563,52.4
2021-06-26,294,268,562,52.3
2021-06-27,292,265,557,52.4
2021-06-28,290,265,555,52.3
2021-06-29,290,267,557,52.1
2021-06-30,289,267,556,52.0
2021-07-01,294,265,559,52.6
2021-07-02,290,264,554,52.3
2021-07-03,287,263,550,52.2
2021-07-04,283,263,546,51.8
2021-07-05,282,250,532,53.0
2021-07-06,281,252,533,52.7
2021-07-07,284,252,536,53.0
2021-07-08,277,253,530,52.3
2021-07-09,282,254,536,52.6
2021-07-10,271,253,524,51.7
2021-07-11,273,254,527,51.8
2021-07-12,272,255,527,51.6
2021-07-13,271,255,526,51.5
2021-07-14,271,256,527,51.4
2021-07-15,277,256,533,52.0
2021-07-16,276,257,533,51.8
2021-07-17,283,249,532,53.2
2021-07-18,286,246,532,53.8
2021-07-19,284,250,534,53.2
2021-07-20,282,254,536,52.6
2021-07-21,281,253,534,52.6
2021-07-22,283,253,536,52.8
2021-07-23,281,253,534,52.6
2021-07-24,279,254,533,52.3
2021-07-25,279,254,533,52.3
2021-07-26,271,264,535,50.7
2021-07-27,272,266,538,50.6
2021-07-28,247,293,540,45.7
2021-07-29,242,296,538,45.0
2021-07-30,241,298,539,44.7
2021-07-31,242,298,540,44.8
2021-08-01,243,298,541,44.9
2021-08-02,249,296,545,45.7
2021-08-03,248,296,544,45.6
2021-08-04,243,292,535,45.4
2021-08-05,245,295,540,45.4
2021-08-06,245,296,541,45.3
2021-08-07,244,295,539,45.3
2021-08-08,244,295,539,45.3
2021-08-09,241,297,538,44.8
2021-08-10,240,297,537,44.7
2021-08-11,228,298,526,43.3
2021-08-12,228,301,529,43.1
2021-08-13,229,301,530,43.2
2021-08-14,238,301,539,44.2
2021-08-15,238,301,539,44.2
2021-08-16,232,305,537,43.2
2021-08-17,231,304,535,43.2
2021-08-19,220,308,528,41.7
2021-08-20,205,324,529,38.8
2021-08-21,210,323,533,39.4
2021-08-22,212,323,535,39.6
2021-08-23,208,323,531,39.2
2021-08-24,206,325,531,38.8
2021-08-25,204,324,528,38.6
2021-08-26,206,324,530,38.9
2021-08-27,205,326,531,38.6
2021-08-28,201,326,527,38.1
2021-08-29,200,328,528,37.9
2021-08-30,198,328,526,37.6
2021-08-31,202,332,534,37.8
2021-09-01,205,332,537,38.2
2021-09-02,200,332,532,37.6
2021-09-03,192,331,523,36.7
2021-09-04,182,330,512,35.5
2021-09-05,181,331,512,35.4
2021-09-06,180,331,511,35.2
2021-09-07,184,330,514,35.8
2021-09-08,182,328,510,35.7
2021-09-09,182,330,512,35.5
2021-09-10,184,331,515,35.7
2021-09-11,185,331,516,35.9
2021-09-12,184,332,516,35.7
2021-09-13,180,332,512,35.2
2021-09-14,184,332,516,35.7
2021-09-15,192,311,503,38.2
2021-09-16,194,309,503,38.6
2021-09-17,193,304,497,38.8
2021-09-18,193,299,492,39.2
2021-09-19,190,298,488,38.9
2021-09-20,188,301,489,38.4
2021-09-21,182,290,472,38.6
2021-09-22,185,282,467,39.6
2021-09-23,189,281,470,40.2
2021-09-24,201,281,482,41.7
2021-09-25,201,280,481,41.8
2021-09-26,205,280,485,42.3
2021-09-27,206,282,488,42.2
2021-09-28,208,282,490,42.4
2021-09-29,203,283,486,41.8
2021-09-30,204,282,486,42.0
2021-10-01,205,281,486,42.2
2021-10-02,207,279,486,42.6
2021-10-03,208,279,487,42.7
2021-10-04,207,278,485,42.7
2021-10-05,199,272,471,42.3
2021-10-06,204,272,476,42.9
2021-10-07,207,270,477,43.4
2021-10-08,206,270,476,43.3
2021-10-09,209,269,478,43.7
2021-10-10,212,269,481,44.1
2021-10-11,205,270,475,43.2
2021-10-12,201,272,473,42.5
2021-10-13,210,270,480,43.8
2021-10-14,207,270,477,43.4
2021-10-15,208,270,478,43.5
2021-10-16,209,272,481,43.5
2021-10-17,213,272,485,43.9
2021-10-18,207,277,484,42.8
2021-10-19,205,277,482,42.5
2021-10-20,204,277,481,42.4
2021-10-21,205,278,483,42.4
2021-10-22,217,278,495,43.8
2021-10-23,221,278,499,44.3
2021-10-24,224,278,502,44.6
2021-10-25,225,277,502,44.8
2021-10-26,222,279,501,44.3
2021-10-27,226,280,506,44.7
2021-10-28,223,281,504,44.2
2021-10-29,219,282,501,43.7
2021-10-30,222,282,504,44.0
2021-10-31,214,292,506,42.3
2021-11-01,211,289,500,42.2
2021-11-02,212,289,501,42.3
2021-11-03,209,289,498,42.0
2021-11-04,216,289,505,42.8
2021-11-05,219,289,508,43.1
2021-11-06,222,289,511,43.4
2021-11-07,222,290,512,43.4
2021-11-08,224,290,514,43.6
2021-11-09,213,292,505,42.2
2021-11-10,215,292,507,42.4
2021-11-11,214,293,507,42.2
2021-11-12,215,294,509,42.2
2021-11-13,219,294,513,42.7
2021-11-14,219,294,513,42.7
2021-11-15,218,295,513,42.5
2021-11-16,216,297,513,42.1
2021-11-17,217,297,514,42.2
2021-11-18,221,297,518,42.7
2021-11-19,222,295,517,42.9
2021-11-20,224,295,519,43.2
2021-11-21,225,295,520,43.3
2021-11-22,227,296,523,43.4
2021-11-23,224,298,522,42.9
2021-11-24,227,300,527,43.1
2021-11-25,225,300,525,42.9
2021-11-26,226,303,529,42.7
2021-11-27,226,304,530,42.6
2021-11-28,225,305,530,42.5
2021-11-29,226,306,532,42.5
2021-11-30,222,308,530,41.9
2021-12-01,226,311,537,42.1
2021-12-02,222,311,533,41.7
2021-12-03,219,311,530,41.3
2021-12-04,224,310,534,41.9
2021-12-05,221,313,534,41.4
2021-12-06,220,315,535,41.1
2021-12-07,216,317,533,40.5
2021-12-08,217,318,535,40.6
2021-12-09,217,318,535,40.6
2021-12-10,222,316,538,41.3
2021-12-11,233,314,547,42.6
2021-12-12,230,314,544,42.3
2021-12-13,229,315,544,42.1
2021-12-14,217,326,543,40.0
2021-12-15,213,326,539,39.5
2021-12-16,207,326,533,38.8
2021-12-17,203,331,534,38.0
2021-12-18,204,330,534,38.2
2021-12-19,203,330,533,38.1
