repo, issue, url, days_since_last_update
common,960,https://github.com/cucumber/common/issues/960,37
common,935,https://github.com/cucumber/common/pull/935,105
common,933,https://github.com/cucumber/common/issues/933,357
common,902,https://github.com/cucumber/common/issues/902,310
common,897,https://github.com/cucumber/common/issues/897,330
common,871,https://github.com/cucumber/common/issues/871,49
common,1329,https://github.com/cucumber/common/issues/1329,105
common,789,https://github.com/cucumber/common/issues/789,490
common,783,https://github.com/cucumber/common/issues/783,504
common,779,https://github.com/cucumber/common/issues/779,210
common,775,https://github.com/cucumber/common/issues/775,506
common,773,https://github.com/cucumber/common/issues/773,278
common,768,https://github.com/cucumber/common/issues/768,54
common,756,https://github.com/cucumber/common/issues/756,19
common,714,https://github.com/cucumber/common/issues/714,389
common,686,https://github.com/cucumber/common/issues/686,573
common,620,https://github.com/cucumber/common/issues/620,691
common,568,https://github.com/cucumber/common/issues/568,163
common,453,https://github.com/cucumber/common/issues/453,487
common,415,https://github.com/cucumber/common/issues/415,925
common,331,https://github.com/cucumber/common/issues/331,1048
common,249,https://github.com/cucumber/common/issues/249,0
cucumber-android,75,https://github.com/cucumber/cucumber-android/pull/75,20
cucumber-android,74,https://github.com/cucumber/cucumber-android/issues/74,20
cucumber-android,71,https://github.com/cucumber/cucumber-android/issues/71,40
cucumber-android,69,https://github.com/cucumber/cucumber-android/issues/69,42
cucumber-android,68,https://github.com/cucumber/cucumber-android/issues/68,60
cucumber-android,67,https://github.com/cucumber/cucumber-android/issues/67,82
cucumber-android,66,https://github.com/cucumber/cucumber-android/issues/66,77
cucumber-android,65,https://github.com/cucumber/cucumber-android/issues/65,100
cucumber-android,64,https://github.com/cucumber/cucumber-android/issues/64,99
cucumber-android,62,https://github.com/cucumber/cucumber-android/issues/62,154
cucumber-android,61,https://github.com/cucumber/cucumber-android/pull/61,165
cucumber-android,60,https://github.com/cucumber/cucumber-android/issues/60,115
cucumber-android,59,https://github.com/cucumber/cucumber-android/issues/59,182
cucumber-android,57,https://github.com/cucumber/cucumber-android/pull/57,236
cucumber-android,46,https://github.com/cucumber/cucumber-android/issues/46,344
cucumber-android,45,https://github.com/cucumber/cucumber-android/issues/45,98
cucumber-android,44,https://github.com/cucumber/cucumber-android/issues/44,411
cucumber-android,42,https://github.com/cucumber/cucumber-android/issues/42,370
cucumber-android,33,https://github.com/cucumber/cucumber-android/pull/33,551
cucumber-android,32,https://github.com/cucumber/cucumber-android/issues/32,552
cucumber-build,18,https://github.com/cucumber/cucumber-build/issues/18,4
cucumber-build,10,https://github.com/cucumber/cucumber-build/issues/10,4
cucumber-classroom,1,https://github.com/cucumber/cucumber-classroom/pull/1,165
cucumber-cpp,244,https://github.com/cucumber/cucumber-cpp/pull/244,15
cucumber-cpp,243,https://github.com/cucumber/cucumber-cpp/issues/243,21
cucumber-cpp,242,https://github.com/cucumber/cucumber-cpp/issues/242,23
cucumber-cpp,241,https://github.com/cucumber/cucumber-cpp/pull/241,164
cucumber-cpp,238,https://github.com/cucumber/cucumber-cpp/issues/238,203
cucumber-cpp,237,https://github.com/cucumber/cucumber-cpp/pull/237,222
cucumber-cpp,234,https://github.com/cucumber/cucumber-cpp/pull/234,443
cucumber-cpp,232,https://github.com/cucumber/cucumber-cpp/pull/232,498
cucumber-cpp,231,https://github.com/cucumber/cucumber-cpp/pull/231,481
cucumber-cpp,229,https://github.com/cucumber/cucumber-cpp/pull/229,528
cucumber-cpp,228,https://github.com/cucumber/cucumber-cpp/pull/228,528
